In-sample error,Post-sample error
-124888.11271462752,
-52590.79367994168,
50371.85536638298,
-12868.421096100705,
17859.46037798305,
32103.904370522825,
48454.844190068776,
-26112.623442110373,
13549.206969054649,
76737.40442505549,
88027.94471787498,
27944.990094844252,
50003.107230819296,
39401.77439798112,
-75429.24194090697,
-101960.04825870576,
-31674.03020878602,
-10752.533167267218,
9051.901490676217,
18327.479356849333,
-7616.638989072293,
-81896.93189731846,
-46354.6931143275,
44862.36638314021,
55551.62709981878,
97444.89934554417,
112394.37176944129,
110022.98232537601,
206840.1392971913,
174255.0135033389,
283846.37318214774,
428475.53452512366,
-61233.43040961586,
183741.61396772927,
144962.15362028126,
191550.51590284915,
133098.9935887216,
150370.96927013947,
99135.60232901876,
81928.98720274726,
42828.15281627909,
61348.20897096279,
-19975.29914608132,
-2258.5052443614695,
24798.880497302394,
-47603.087909272406,
-29518.495978331426,
-66435.60527411615,
-94501.86091199517,
-156559.5796494768,
-117442.3057779856,
-61178.274302162696,
-69270.59163530031,
-81421.45952885807,
-103716.41322136647,
-112607.22430082457,
-139021.88046896947,
-127681.54099015635,
-55198.13719600695,
-19196.04281126242,
-25020.426317061065,
-14667.193715374684,
-30060.360768955434,
-89910.81604131497,
-51640.89588133921,
-1399.3835814376362,
7545.491167512257,
-11290.04558664048,
-3128.780940086581,
-25931.997969975928,
-99097.66480937856,
-103881.01941345003,
-37092.47150599072,
-24493.163374060066,
-30807.181192186894,
-35537.90465848963,
-27195.702323476784,
-73750.20862013265,
-109189.76682299958,
-70583.9568161706,
-58688.89760934259,
-51972.88326266757,
-59394.41463529994,
-79243.49929111032,
-55894.31134191016,
4429.507708992576,
21721.587629179237,
35638.68336373591,
42550.05321728415,
60961.51264425204,
122945.33684248477,
8687.860027551651,
-132155.824998294,
-194107.60098657804,
26965.810165390605,
64225.326365261106,
25177.923685782123,
30735.498724278295,
26693.62420854182,
42931.06528370292,
49514.374979670625,
35517.496095906245,
53775.22428288497,
57856.419548924314,
20544.17932006158,
72628.48355800868,
193454.428885418,
318774.3792180619,
316575.95013551065,
317078.4020930014,
89460.54531998956,
-190693.13261386997,
-114019.71494064294,
-22704.503583124955,
-107344.5462691955,
-428018.62939653196,
-352815.3620985667,
-137596.64431969752,
-98613.22493018955,
-82363.27996310103,
-17231.886633965885,
72978.21933732252,
-17094.349206664367,
-8849.019352050032,
5063.386825385271,
39966.16252461658,
-14189.070551233133,
-29036.76874925429,
29418.649790664902,
-26769.19942282955,
117407.73911844986,
8201.551261223853,
4752.681992826983,
-40116.810771700926,
-55228.212047148845,
38072.24178854283,
19848.931284340564,
-8559.765569287585,
-11966.58540818654,
-21913.80094015575,
-51693.25072665606,
-56252.16059648851,
-14897.316573068034,
-34554.87546025473,
-19387.837667552987,
4868.587157047354,
-12249.129284891998,
-32618.94079743186,
-54792.364881212125,
-10523.295670574298,
-32999.57631985517,
-27696.738498029532,
-3919.4275730641093,
5788.055552894715,
-12108.782152853906,
-2979.466039509047,
2211.939166309312,
58086.72709676158,
-34607.03552761604,
-18937.017999609467,
-51353.366347984644,
-71904.30906834896,
-73028.28167916136,
90099.92160848039,
102300.8448762761,
88807.42396274558,
74038.8501193719,
53111.724744783016,
66718.66102541448,
-28244.421240593307,
-305268.3284240111,
-16610.044232278597,
4202.205069057876,
12993.114035500912,
68222.63046236197,
72009.97740195785,
57593.8508461935,
169579.15227805753,
181112.0093186018,
129187.270355504,
112077.94792882842,
72976.29163057939,
-431.6204661075026,
-24244.04552298854,
-1790.1956373502035,
11764.628245541593,
-8631.514807023108,
-71002.02153133159,
-8602.84769050451,
-10352.286333157448,
4254.063250261126,
-35854.46429269668,
-8884.971907829866,
21204.790588513715,
60560.8614407978,
49755.42822175776,
-21990.564679842675,
-57053.1094072212,
-7194.149782757508,
46057.56316370494,
40956.076300104614,
23605.683884088416,
68662.24419463845,
20208.65948431124,
-16206.785062502837,
65952.5522416879,
70367.42672313913,
57018.0617653043,
20976.043554780772,
53159.151010052534,
-32154.617164338124,
-28122.831883440726,
43544.85709606297,
24436.80347636901,
2170.504319463158,
27528.017208513105,
-19357.3160782787,
-55234.0293308628,
-37310.18569512712,
186171.68853624654,
-75999.53563593561,
-356845.2052167064,
-73730.93230914767,
-123899.0229943113,
-100328.10905795032,
-98467.59336532559,
-43634.735074734315,
-43793.66993162921,
-1092.9433443737216,
-12431.929253153037,
28135.003997814376,
-38701.12251586304,
-18962.13099876698,
-29725.30551741575,
-37471.78271146235,
2206.2499701261986,
-6565.540999087738,
4641.219196204562,
-34771.92891748925,
-54684.772623201134,
-18470.743708277587,
46655.07582122763,
35136.50955229625,
19689.00330795697,
-38874.77410266874,
-54145.489436505595,
-56384.93311408837,
-32354.173292286927,
-5565.1330229642335,
9539.682620390086,
15705.094833750045,
-6859.014295749832,
-29974.276491281576,
-32445.16475956957,
-17011.639799471945,
19012.50468654465,
28079.13556185551,
-1654.4458655733615,
-25322.439559906255,
-17687.005863403203,
5841.13672896591,
37304.703448322834,
5555.331895185169,
38275.58211079519,
56378.25659335102,
-1625.2732792487368,
-28353.5708663119,
-10784.222196019022,
54299.76905447384,
50041.77382618678,
34827.15216893912,
27342.521655665478,
-46321.409677614225,
-44793.324598311214,
-40436.74483566801,
14882.216172825312,
35953.15947381989,
46098.95225503016,
26240.184456184274,
34934.73801659816,
9450.290689310525,
1650.1555025787093,
7601.464287806302,
-4162.29331947118,
11061.705631813267,
-6968.944562264252,
11778.3898377656,
-80061.67255364568,
-47461.927860225784,
12404.697075665928,
6861.73207884375,
23666.55486414046,
42272.95078912168,
11680.421475447947,
135178.57761476003,
137000.18249081075,
286183.74688791693,
324944.0338602485,
-244175.12162553286,
-288623.37643265,
-109391.476890133,
-39191.158488538815,
-46191.2468636313,
15154.132975706598,
25866.387735611992,
40890.36129673128,
56811.86224279925,
17489.939137952635,
9531.849054647377,
5580.563226841856,
22774.060114887077,
-10361.68292792025,
-15773.21529292618,
-6529.034422362922,
-24349.418108541053,
-78622.17011437542,
-73476.95843282412,
-31375.385213442612,
-40925.18087725411,
-34486.003994172206,
-15742.198888240615,
-29915.41195669491,
-65233.03445944027,
-54393.559663067805,
-6515.97416194994,
-20468.171037663007,
-22049.80517403898,
-15376.777772140224,
2918.154257444432,
,24179.585168554913
,70448.18046704168
,103246.4393642575
,82831.03542393702
,40035.3473176558
,102451.22120461287
,87091.16172550386
,149930.26572266966
,88108.64783913316
,198155.62148962403
,193807.12033209507
,220659.0351941483
,206270.64975945116
,156341.24512532307
,136043.21437830478
,101724.60446492466
,79771.94263139507
,48097.00127340155
,38924.20067738462
,89933.89673671918
,79657.05468563782
,40130.62384241307
,132663.82100296696
,123070.92658159393
,-188058.95496046077
,-155230.9948311285
,-29503.033762166277
,-4347.336816544877
,-61077.62683735252
,121793.97303972463
